sentence,intent
who are you?,smalltalk_agent_acquaintance
all about you,smalltalk_agent_acquaintance
what is your personality,smalltalk_agent_acquaintance
define yourself,smalltalk_agent_acquaintance
what are you,smalltalk_agent_acquaintance
say about you,smalltalk_agent_acquaintance
introduce yourself,smalltalk_agent_acquaintance
describe yourself,smalltalk_agent_acquaintance
about yourself,smalltalk_agent_acquaintance
tell me about you,smalltalk_agent_acquaintance
tell me about yourself,smalltalk_agent_acquaintance
I want to know more about you,smalltalk_agent_acquaintance
I want to know you better,smalltalk_agent_acquaintance
talk some stuff about yourself,smalltalk_agent_acquaintance
tell me some stuff about you,smalltalk_agent_acquaintance
talk about yourself,smalltalk_agent_acquaintance
why are you here,smalltalk_agent_acquaintance
tell me about your personality,smalltalk_agent_acquaintance
who are you,smalltalk_agent_acquaintance
how old are you?,smalltalk_agent_age
how old is your platform,smalltalk_agent_age
are you 21 years old,smalltalk_agent_age
i'd like to know your age,smalltalk_agent_age
age of yours,smalltalk_agent_age
your age,smalltalk_agent_age
what's your age,smalltalk_agent_age
tell me your age,smalltalk_agent_age
how old are you,smalltalk_agent_age
you're annoying,smalltalk_agent_annoying
you are really annoying,smalltalk_agent_annoying
you are irritating,smalltalk_agent_annoying
you annoy me,smalltalk_agent_annoying
how annoying you are,smalltalk_agent_annoying
I find you annoying,smalltalk_agent_annoying
you're incredibly annoying,smalltalk_agent_annoying
you are annoying me so much,smalltalk_agent_annoying
I want you to answer me,smalltalk_agent_answer_my_question
answer,smalltalk_agent_answer_my_question
answer my question,smalltalk_agent_answer_my_question
answer me,smalltalk_agent_answer_my_question
give me an answer,smalltalk_agent_answer_my_question
answer the question,smalltalk_agent_answer_my_question
can you answer my question,smalltalk_agent_answer_my_question
tell me the answer,smalltalk_agent_answer_my_question
answer it,smalltalk_agent_answer_my_question
give me the answer,smalltalk_agent_answer_my_question
I have a question,smalltalk_agent_answer_my_question
I want you to answer my question,smalltalk_agent_answer_my_question
just answer the question,smalltalk_agent_answer_my_question
can you answer me,smalltalk_agent_answer_my_question
answers,smalltalk_agent_answer_my_question
can you answer a question for me,smalltalk_agent_answer_my_question
can you answer,smalltalk_agent_answer_my_question
answering questions,smalltalk_agent_answer_my_question
I want the answer now,smalltalk_agent_answer_my_question
just answer my question,smalltalk_agent_answer_my_question
you're not helping me,smalltalk_agent_bad
you are bad,smalltalk_agent_bad
you're very bad,smalltalk_agent_bad
you're really bad,smalltalk_agent_bad
you are useless,smalltalk_agent_bad
you are horrible,smalltalk_agent_bad
you are a waste of time,smalltalk_agent_bad
you are disgusting,smalltalk_agent_bad
you are lame,smalltalk_agent_bad
you are no good,smalltalk_agent_bad
you're bad,smalltalk_agent_bad
you're awful,smalltalk_agent_bad
you are not cool,smalltalk_agent_bad
you are not good,smalltalk_agent_bad
you are so bad,smalltalk_agent_bad
you are so useless,smalltalk_agent_bad
you are terrible,smalltalk_agent_bad
you are totally useless,smalltalk_agent_bad
you are very bad,smalltalk_agent_bad
you are waste,smalltalk_agent_bad
you're a bad,smalltalk_agent_bad
you're not a good,smalltalk_agent_bad
you're not very good,smalltalk_agent_bad
you're terrible,smalltalk_agent_bad
you're the worst,smalltalk_agent_bad
you're the worst ever,smalltalk_agent_bad
you're worthless,smalltalk_agent_bad
can you get smarter,smalltalk_agent_be_clever
study,smalltalk_agent_be_clever
you should study better,smalltalk_agent_be_clever
you must learn,smalltalk_agent_be_clever
be clever,smalltalk_agent_be_clever
be more clever,smalltalk_agent_be_clever
be smarter,smalltalk_agent_be_clever
be smart,smalltalk_agent_be_clever
get qualified,smalltalk_agent_be_clever
you're cute,smalltalk_agent_beautiful
you're attractive,smalltalk_agent_beautiful
you are beautiful,smalltalk_agent_beautiful
you're looking good today,smalltalk_agent_beautiful
you are so beautiful,smalltalk_agent_beautiful
you look amazing,smalltalk_agent_beautiful
you look so good,smalltalk_agent_beautiful
you're so gorgeous,smalltalk_agent_beautiful
you are too beautiful,smalltalk_agent_beautiful
you look great,smalltalk_agent_beautiful
you look so well,smalltalk_agent_beautiful
I like the way you look now,smalltalk_agent_beautiful
I think you're beautiful,smalltalk_agent_beautiful
why are you so beautiful,smalltalk_agent_beautiful
you are so beautiful to me,smalltalk_agent_beautiful
you are cute,smalltalk_agent_beautiful
